"id","api_datetime","ask","bid","market_date_time","regular_market_change_percent","regular_market_price","regular_market_time","symbol","type"
"201","1742190010","87.95","87.9","2025-03-17 13:25:00","2.8671792","87.9","1742189100","0005.HK","M5"
"202","1742190310","365.8","365.6","2025-03-17 13:30:01","3.2185187","365.6","1742189401","0388.HK","M5"
"203","1742190310","525.5","525","2025-03-17 13:30:00","0.67114097","525","1742189400","0700.HK","M5"
"204","1742190310","87.9","87.85","2025-03-17 13:30:00","2.8671792","87.9","1742189400","0005.HK","M5"
"205","1742190610","366.4","366.2","2025-03-17 13:35:01","3.4443765","366.4","1742189701","0388.HK","M5"
"206","1742190610","526","525.5","2025-03-17 13:35:00","0.8628955","526","1742189700","0700.HK","M5"
"207","1742190610","87.9","87.85","2025-03-17 13:34:56","2.808662","87.85","1742189696","0005.HK","M5"
"208","1742190915","367","366.8","2025-03-17 13:40:04","3.613774","367","1742190004","0388.HK","M5"
"209","1742190915","526.5","526","2025-03-17 13:40:05","0.8628955","526","1742190005","0700.HK","M5"
"210","1742190915","87.9","87.85","2025-03-17 13:40:04","2.808662","87.85","1742190004","0005.HK","M5"
"211","1742191210","366.8","366.6","2025-03-17 13:44:57","3.5573053","366.8","1742190297","0388.HK","M5"
"212","1742191210","527","526.5","2025-03-17 13:45:00","1.0546501","527","1742190300","0700.HK","M5"
"213","1742191210","87.95","87.9","2025-03-17 13:44:52","2.8671792","87.9","1742190292","0005.HK","M5"
"214","1742191515","366.6","366.4","2025-03-17 13:49:56","3.5008452","366.6","1742190596","0388.HK","M5"
"215","1742191515","526","525.5","2025-03-17 13:50:06","0.9587728","526.5","1742190606","0700.HK","M5"
"216","1742191515","87.95","87.9","2025-03-17 13:50:01","2.984205","88","1742190601","0005.HK","M5"
"217","1742191810","366","365.8","2025-03-17 13:54:59","3.2749789","365.8","1742190899","0388.HK","M5"
"218","1742191810","525.5","525","2025-03-17 13:54:59","0.67114097","525","1742190899","0700.HK","M5"
"219","1742191810","88","87.95","2025-03-17 13:54:56","2.9256876","87.95","1742190896","0005.HK","M5"
"220","1742192110","366","365.8","2025-03-17 14:00:01","3.2749789","365.8","1742191201","0388.HK","M5"
"221","1742192110","525","524.5","2025-03-17 14:00:00","0.5752637","524.5","1742191200","0700.HK","M5"
"222","1742192110","87.95","87.9","2025-03-17 13:59:54","2.8671792","87.9","1742191194","0005.HK","M5"
"223","1742192410","366","365.8","2025-03-17 14:04:59","3.3314476","366","1742191499","0388.HK","M5"
"224","1742192410","525","524.5","2025-03-17 14:04:59","0.5752637","524.5","1742191499","0700.HK","M5"
"225","1742192410","87.85","87.8","2025-03-17 14:04:59","2.808662","87.85","1742191499","0005.HK","M5"
"226","1742192710","365.8","365.6","2025-03-17 14:09:58","3.2749789","365.8","1742191798","0388.HK","M5"
"227","1742192710","525.5","525","2025-03-17 14:10:01","0.67114097","525","1742191801","0700.HK","M5"
"228","1742192710","87.95","87.9","2025-03-17 14:10:00","2.9256876","87.95","1742191800","0005.HK","M5"
"229","1742193017","368","367.6","2025-03-17 14:15:08","3.8396316","367.8","1742192108","0388.HK","M5"
"230","1742193017","525.5","525","2025-03-17 14:15:06","0.7670182","525.5","1742192106","0700.HK","M5"
"231","1742193017","87.95","87.9","2025-03-17 14:14:58","2.8671792","87.9","1742192098","0005.HK","M5"
"232","1742193310","366.8","366.6","2025-03-17 14:19:58","3.5008452","366.6","1742192398","0388.HK","M5"
"233","1742193310","525.5","525","2025-03-17 14:19:59","0.67114097","525","1742192399","0700.HK","M5"
"234","1742193310","87.85","87.8","2025-03-17 14:19:55","2.7501535","87.8","1742192395","0005.HK","M5"
"235","1742193610","366.4","366","2025-03-17 14:24:59","3.3879163","366.2","1742192699","0388.HK","M5"
"236","1742193610","525.5","525","2025-03-17 14:24:57","0.7670182","525.5","1742192697","0700.HK","M5"
"237","1742193610","87.8","87.75","2025-03-17 14:25:00","2.691636","87.75","1742192700","0005.HK","M5"
"238","1742193910","366.8","366.6","2025-03-17 14:29:58","3.5573053","366.8","1742192998","0388.HK","M5"
"239","1742193910","525","524.5","2025-03-17 14:29:59","0.5752637","524.5","1742192999","0700.HK","M5"
"240","1742193910","87.85","87.8","2025-03-17 14:30:00","2.7501535","87.8","1742193000","0005.HK","M5"
"241","1742194210","366.8","366.6","2025-03-17 14:34:49","3.4443765","366.4","1742193289","0388.HK","M5"
"242","1742194210","525","524.5","2025-03-17 14:35:01","0.5752637","524.5","1742193301","0700.HK","M5"
"243","1742194210","87.9","87.85","2025-03-17 14:34:58","2.8671792","87.9","1742193298","0005.HK","M5"
"244","1742194510","366.2","366","2025-03-17 14:39:52","3.4443765","366.4","1742193592","0388.HK","M5"
"245","1742194510","525.5","525","2025-03-17 14:40:01","0.7670182","525.5","1742193601","0700.HK","M5"
"246","1742194510","87.95","87.9","2025-03-17 14:39:57","2.9256876","87.95","1742193597","0005.HK","M5"
"247","1742194810","366","365.8","2025-03-17 14:43:34","3.3314476","366","1742193814","0388.HK","M5"
"248","1742194810","525","524.5","2025-03-17 14:44:55","0.67114097","525","1742193895","0700.HK","M5"
"249","1742194810","87.8","87.75","2025-03-17 14:44:56","2.691636","87.75","1742193896","0005.HK","M5"
"250","1742195110","364.8","364.6","2025-03-17 14:49:56","2.9926524","364.8","1742194196","0388.HK","M5"
"251","1742195110","525","524.5","2025-03-17 14:50:00","0.67114097","525","1742194200","0700.HK","M5"
"252","1742195110","87.85","87.8","2025-03-17 14:50:00","2.7501535","87.8","1742194200","0005.HK","M5"
"253","1742195415","365.8","365.6","2025-03-17 14:55:05","3.3314476","366","1742194505","0388.HK","M5"
"254","1742195415","525.5","525","2025-03-17 14:55:06","0.7670182","525.5","1742194506","0700.HK","M5"
"255","1742195415","87.85","87.8","2025-03-17 14:54:58","2.7501535","87.8","1742194498","0005.HK","M5"
"256","1742195710","365.8","365.6","2025-03-17 14:59:53","3.16205","365.4","1742194793","0388.HK","M5"
"257","1742195710","525.5","525","2025-03-17 15:00:01","0.7670182","525.5","1742194801","0700.HK","M5"
"258","1742195710","87.9","87.85","2025-03-17 15:00:00","2.8671792","87.9","1742194800","0005.HK","M5"
"259","1742196010","364.8","364.6","2025-03-17 15:05:01","2.9361925","364.6","1742195101","0388.HK","M5"
"260","1742196010","524.5","524","2025-03-17 15:05:01","0.4793864","524","1742195101","0700.HK","M5"
"261","1742196010","87.85","87.8","2025-03-17 15:04:36","2.7501535","87.8","1742195076","0005.HK","M5"
"262","1742196310","364.8","364.6","2025-03-17 15:09:58","2.9361925","364.6","1742195398","0388.HK","M5"
